tail_num,mfr_name,model,model_2,year,cert_year,eng_mfr_name,eng_model,carrier
N17146,EMBRAER,EMB-145XR,ERJ145,2003.0,2003.0,ROLLS-ROYC,AE3007A,EV
N11127,EMBRAER,EMB-145XR,ERJ145,2003.0,2003.0,ROLLS-ROYC,AE3007A,EV
N12157,EMBRAER,EMB-145XR,ERJ145,2004.0,2004.0,ROLLS-ROYC,AE3007A,EV
N12163,EMBRAER,EMB-145XR,ERJ145,2004.0,2004.0,ROLLS-ROYC,AE3007A,EV
N13992,EMBRAER,EMB-145LR,ERJ145,2000.0,2000.0,ROLLS-ROYC,AE3007A,EV
N11192,EMBRAER,EMB-145XR,ERJ145,2005.0,2005.0,ROLLS-ROYC,AE3007A,EV
N12136,EMBRAER,EMB-145XR,ERJ145,2003.0,2003.0,ROLLS-ROYC,AE3007A,EV
N15912,EMBRAER,EMB-145LR,ERJ145,2001.0,2017.0,ROLLS-ROYC,AE3007A,EV
N12900,EMBRAER,EMB-145LR,ERJ145,2001.0,2002.0,ROLLS-ROYC,AE3007A,EV
N14998,EMBRAER,EMB-145LR,ERJ145,2000.0,2018.0,ROLLS-ROYC,AE3007A,EV
N11535,EMBRAER,EMB-145LR,ERJ145,2001.0,2002.0,ROLLS-ROYC,AE3007A,EV
N15980,EMBRAER,EMB-145LR,ERJ145,1999.0,2000.0,ROLLS-ROYC,AE3007A,EV
N17196,EMBRAER,EMB-145XR,ERJ145,2005.0,2005.0,ROLLS-ROYC,AE3007A,EV
N13908,EMBRAER,EMB-145LR,ERJ145,2001.0,2018.0,ROLLS-ROYC,AE3007A,EV
N12996,EMBRAER,EMB-145LR,ERJ145,2000.0,2018.0,ROLLS-ROYC,AE3007A,EV
N14993,EMBRAER,EMB-145LR,ERJ145,2000.0,2000.0,ROLLS-ROYC,AE3007A,EV
N24103,EMBRAER,EMB-145XR,ERJ145,2002.0,2003.0,ROLLS-ROYC,AE3007A,EV
N17185,EMBRAER,EMB-145XR,ERJ145,2005.0,2005.0,ROLLS-ROYC,AE3007A,EV
N11184,EMBRAER,EMB-145XR,ERJ145,2005.0,2005.0,ROLLS-ROYC,AE3007A,EV
N16546,EMBRAER,EMB-145LR,ERJ145,2002.0,2017.0,ROLLS-ROYC,AE3007A,EV
N13994,EMBRAER,EMB-145LR,ERJ145,2000.0,2017.0,ROLLS-ROYC,AE3007A,EV
N25134,EMBRAER,EMB-145XR,ERJ145,2003.0,2003.0,ROLLS-ROYC,AE3007A,EV
N13913,EMBRAER,EMB-145LR,ERJ145,2001.0,2017.0,ROLLS-ROYC,AE3007A,EV
N21144,EMBRAER,EMB-145XR,ERJ145,2003.0,2003.0,ROLLS-ROYC,AE3007A,EV
N14180,EMBRAER,EMB-145XR,ERJ145,2005.0,2005.0,ROLLS-ROYC,AE3007A,EV
N13118,EMBRAER,EMB-145XR,ERJ145,2002.0,2018.0,ROLLS-ROYC,AE3007A,EV
N21537,EMBRAER,EMB-145LR,ERJ145,2001.0,2002.0,ROLLS-ROYC,AE3007A,EV
N14907,EMBRAER,EMB-145LR,ERJ145,2001.0,2018.0,ROLLS-ROYC,AE3007A,EV
N12135,EMBRAER,EMB-145XR,ERJ145,2003.0,2003.0,ROLLS-ROYC,AE3007A,EV
N16178,EMBRAER,EMB-145XR,ERJ145,2005.0,2005.0,ROLLS-ROYC,AE3007A,EV
N17138,EMBRAER,EMB-145XR,ERJ145,2003.0,2003.0,ROLLS-ROYC,AE3007A,EV
N17108,EMBRAER,EMB-145XR,ERJ145,2002.0,2018.0,ROLLS-ROYC,AE3007A,EV
N14204,EMBRAER,EMB-145XR,ERJ145,2006.0,2006.0,ROLLS-ROYC,AE3007A,EV
N14148,EMBRAER,EMB-145XR,ERJ145,2003.0,2003.0,ROLLS-ROYC,AE3007A,EV
N14168,EMBRAER,EMB-145XR,ERJ145,2004.0,2004.0,ROLLS-ROYC,AE3007A,EV
N13161,EMBRAER,EMB-145XR,ERJ145,2004.0,2004.0,ROLLS-ROYC,AE3007A,EV
N14562,EMBRAER,EMB-145LR,ERJ145,2002.0,2002.0,ROLLS-ROYC,AE3007A,EV
N16559,EMBRAER,EMB-145LR,ERJ145,2002.0,2002.0,ROLLS-ROYC,AE3007A,EV
N16149,EMBRAER,EMB-145XR,ERJ145,2003.0,2003.0,ROLLS-ROYC,AE3007A,EV
N16170,EMBRAER,EMB-145XR,ERJ145,2004.0,2004.0,ROLLS-ROYC,AE3007A,EV
N13132,EMBRAER,EMB-145XR,ERJ145,2003.0,2003.0,ROLLS-ROYC,AE3007A,EV
N16911,EMBRAER,EMB-145LR,ERJ145,2001.0,2017.0,ROLLS-ROYC,AE3007A,EV
N14198,EMBRAER,EMB-145XR,ERJ145,2006.0,2006.0,ROLLS-ROYC,AE3007A,EV
N14186,EMBRAER,EMB-145XR,ERJ145,2005.0,2005.0,ROLLS-ROYC,AE3007A,EV
N11187,EMBRAER,EMB-145XR,ERJ145,2005.0,2005.0,ROLLS-ROYC,AE3007A,EV
N12172,EMBRAER,EMB-145XR,ERJ145,2004.0,2004.0,ROLLS-ROYC,AE3007A,EV
N11140,EMBRAER,EMB-145XR,ERJ145,2003.0,2003.0,ROLLS-ROYC,AE3007A,EV
N14188,EMBRAER,EMB-145XR,ERJ145,2005.0,2005.0,ROLLS-ROYC,AE3007A,EV
N16919,EMBRAER,EMB-145LR,ERJ145,2001.0,2017.0,ROLLS-ROYC,AE3007A,EV
N14143,EMBRAER,EMB-145XR,ERJ145,2003.0,2003.0,ROLLS-ROYC,AE3007A,EV
N11176,EMBRAER,EMB-145XR,ERJ145,2004.0,2005.0,ROLLS-ROYC,AE3007A,EV
N13979,EMBRAER,EMB-145LR,ERJ145,1999.0,2000.0,ROLLS-ROYC,AE3007A,EV
N16541,EMBRAER,EMB-145LR,ERJ145,2001.0,2017.0,ROLLS-ROYC,AE3007A,EV
N11109,EMBRAER,EMB-145XR,ERJ145,2002.0,2018.0,ROLLS-ROYC,AE3007A,EV
N29906,EMBRAER,EMB-145LR,ERJ145,2001.0,2017.0,ROLLS-ROYC,AE3007A,EV
N17159,EMBRAER,EMB-145XR,ERJ145,2004.0,2004.0,ROLLS-ROYC,AE3007A,EV
N27190,EMBRAER,EMB-145XR,ERJ145,2005.0,2005.0,ROLLS-ROYC,AE3007A,EV
N12167,EMBRAER,EMB-145XR,ERJ145,2004.0,2004.0,ROLLS-ROYC,AE3007A,EV
N27152,EMBRAER,EMB-145XR,ERJ145,2003.0,2003.0,ROLLS-ROYC,AE3007A,EV
N27200,EMBRAER,EMB-145XR,ERJ145,2006.0,2006.0,ROLLS-ROYC,AE3007A,EV
N14105,EMBRAER,EMB-145XR,ERJ145,2002.0,2003.0,ROLLS-ROYC,AE3007A,EV
N16183,EMBRAER,EMB-145XR,ERJ145,2005.0,2005.0,ROLLS-ROYC,AE3007A,EV
N13202,EMBRAER,EMB-145XR,ERJ145,2006.0,2006.0,ROLLS-ROYC,AE3007A,EV
N183DN,BOEING,767-332ER,767-300ER,1993.0,1993.0,P & W,PW4060,DL
N830MH,BOEING,767-432ER,767-400ER,2000.0,2000.0,GE,CF6-80C2,DL
N184DN,BOEING,767-332ER,767-300ER,1993.0,2018.0,P & W,PW4060,DL
N855NW,AIRBUS,A330-223,A330-200,2004.0,2009.0,P & W,PW4168A,DL
N857AS,BOMBARDIER INC,CL-600-2B19,CL-600,2000.0,2017.0,GE,CF34-3,EV
N882AS,BOMBARDIER INC,CL-600-2B19,CL-600,2001.0,2017.0,GE,CF34-3,EV
N854AS,BOMBARDIER INC,CL-600-2B19,CL-600,2000.0,2017.0,GE,CF34-3,EV
N924EV,BOMBARDIER INC,CL-600-2B19,CL-600,2003.0,2003.0,GE,CF34-3,EV
N851AS,BOMBARDIER INC,CL-600-2B19,CL-600,1999.0,2017.0,GE,CF34-3,EV
N859AS,BOMBARDIER INC,CL-600-2B19,CL-600,2000.0,2017.0,GE,CF34-3,EV
N925EV,BOMBARDIER INC,CL-600-2B19,CL-600,2003.0,2017.0,GE,CF34-3,EV
N847AS,BOMBARDIER INC,CL-600-2B19,CL-600,1999.0,2017.0,GE,CF34-3,EV
N870AS,BOMBARDIER INC,CL-600-2B19,CL-600,2001.0,2004.0,GE,CF34-3,EV
N195PQ,BOMBARDIER INC,CL-600-2D24,CL-600,2008.0,2014.0,GE,CF34-8C,EV
N900EV,BOMBARDIER INC,CL-600-2B19,CL-600,2002.0,2017.0,GE,CF34-3,EV
N871AS,BOMBARDIER INC,CL-600-2B19,CL-600,2001.0,2004.0,GE,CF34-3,EV
N371CA,BOMBARDIER INC,CL-600-2C10,CL-600,2003.0,2012.0,GE,CF34-8C,EV
N166PQ,BOMBARDIER INC,CL-600-2D24,CL-600,2008.0,2013.0,GE,CF34-8C,EV
N228PQ,BOMBARDIER INC,CL-600-2D24,CL-600,2009.0,2014.0,GE,CF34-8C,EV
N860AS,BOMBARDIER INC,CL-600-2B19,CL-600,2000.0,2017.0,GE,CF34-3,EV
N883AS,BOMBARDIER INC,CL-600-2B19,CL-600,2001.0,2017.0,GE,CF34-3,EV
N919EV,BOMBARDIER INC,CL-600-2B19,CL-600,2003.0,2017.0,GE,CF34-3,EV
N878AS,BOMBARDIER INC,CL-600-2B19,CL-600,2002.0,2017.0,GE,CF34-3,EV
N856AS,BOMBARDIER INC,CL-600-2B19,CL-600,2000.0,2017.0,GE,CF34-3,EV
N717EV,BOMBARDIER INC,CL-600-2C10,CL-600,2003.0,2003.0,GE,CF34-8C,EV
N138EV,BOMBARDIER INC,CL-600-2D24,CL-600,2009.0,2009.0,GE,CF34-8C,EV
N722EV,BOMBARDIER INC,CL-600-2C10,CL-600,2003.0,2018.0,GE,CF34-8C,EV
N132EV,BOMBARDIER INC,CL-600-2D24,CL-600,2009.0,2009.0,GE,CF34-8C,EV
N153PQ,BOMBARDIER INC,CL-600-2D24,CL-600,2007.0,2013.0,GE,CF34-8C,EV
N137EV,BOMBARDIER INC,CL-600-2D24,CL-600,2009.0,2009.0,GE,CF34-8C,EV
N186PQ,BOMBARDIER INC,CL-600-2D24,CL-600,2008.0,2014.0,GE,CF34-8C,EV
N197PQ,BOMBARDIER INC,CL-600-2D24,CL-600,2008.0,2013.0,GE,CF34-8C,EV
N232PQ,BOMBARDIER INC,CL-600-2D24,CL-600,2009.0,2014.0,GE,CF34-8C,EV
N136EV,BOMBARDIER INC,CL-600-2D24,CL-600,2009.0,2009.0,GE,CF34-8C,EV
N147PQ,BOMBARDIER INC,CL-600-2D24,CL-600,2007.0,2014.0,GE,CF34-8C,EV
N582CA,BOMBARDIER INC,CL-600-2D24,CL-600,2008.0,2012.0,GE,CF34-8C,EV
N134EV,BOMBARDIER INC,CL-600-2D24,CL-600,2009.0,2009.0,GE,CF34-8C,EV
N855AS,BOMBARDIER INC,CL-600-2B19,CL-600,2000.0,2017.0,GE,CF34-3,EV
N868AS,BOMBARDIER INC,CL-600-2B19,CL-600,2001.0,2017.0,GE,CF34-3,EV
N881AS,BOMBARDIER INC,CL-600-2B19,CL-600,2001.0,2017.0,GE,CF34-3,EV
N873AS,BOMBARDIER INC,CL-600-2B19,CL-600,2001.0,2017.0,GE,CF34-3,EV
N926EV,BOMBARDIER INC,CL-600-2B19,CL-600,2003.0,2017.0,GE,CF34-3,EV
N914EV,BOMBARDIER INC,CL-600-2B19,CL-600,2003.0,2017.0,GE,CF34-3,EV
N917EV,BOMBARDIER INC,CL-600-2B19,CL-600,2003.0,2017.0,GE,CF34-3,EV
N921EV,BOMBARDIER INC,CL-600-2B19,CL-600,2003.0,2017.0,GE,CF34-3,EV
N922EV,BOMBARDIER INC,CL-600-2B19,CL-600,2003.0,2017.0,GE,CF34-3,EV
N848AS,BOMBARDIER INC,CL-600-2B19,CL-600,1999.0,2017.0,GE,CF34-3,EV
N759EV,BOMBARDIER INC,CL-600-2C10,CL-600,2005.0,2005.0,GE,CF34-8C,EV
N718EV,BOMBARDIER INC,CL-600-2C10,CL-600,2003.0,2003.0,GE,CF34-8C,EV
N538CA,BOMBARDIER INC,CL-600-2D24,CL-600,2008.0,2012.0,GE,CF34-8C,EV
N135EV,BOMBARDIER INC,CL-600-2D24,CL-600,2009.0,2009.0,GE,CF34-8C,EV
N678CA,BOMBARDIER INC,CL-600-2D24,CL-600,2007.0,2012.0,GE,CF34-8C,EV
N131EV,BOMBARDIER INC,CL-600-2D24,CL-600,2009.0,2009.0,GE,CF34-8C,EV
N695CA,BOMBARDIER INC,CL-600-2D24,CL-600,2006.0,2012.0,GE,CF34-8C,EV
N607LR,BOMBARDIER INC,CL-600-2D24,CL-600,2008.0,2008.0,GE,CF34-8C,EV
N146PQ,BOMBARDIER INC,CL-600-2D24,CL-600,2007.0,2014.0,GE,CF34-8C,EV
N200PQ,BOMBARDIER INC,CL-600-2D24,CL-600,2008.0,2014.0,GE,CF34-8C,EV
N748EV,BOMBARDIER INC,CL-600-2C10,CL-600,2004.0,2004.0,GE,CF34-8C,EV
N858AS,BOMBARDIER INC,CL-600-2B19,CL-600,2000.0,2017.0,GE,CF34-3,EV
N853AS,BOMBARDIER INC,CL-600-2B19,CL-600,2000.0,2017.0,GE,CF34-3,EV
N872AS,BOMBARDIER INC,CL-600-2B19,CL-600,2001.0,2001.0,GE,CF34-3,EV
N916EV,BOMBARDIER INC,CL-600-2B19,CL-600,2003.0,2017.0,GE,CF34-3,EV
N843AS,BOMBARDIER INC,CL-600-2B19,CL-600,1999.0,,GE,CF34-3,EV
N844AS,BOMBARDIER INC,CL-600-2B19,CL-600,1999.0,2017.0,GE,CF34-3,EV
N927EV,BOMBARDIER INC,CL-600-2B19,CL-600,2003.0,2003.0,GE,CF34-3,EV
N861AS,BOMBARDIER INC,CL-600-2B19,CL-600,2000.0,2017.0,GE,CF34-3,EV
N707EV,BOMBARDIER INC,CL-600-2C10,CL-600,2002.0,2002.0,GE,CF34-8C,EV
N937EV,BOMBARDIER INC,CL-600-2B19,CL-600,2005.0,2017.0,GE,CF34-3,EV
N741EV,BOMBARDIER INC,CL-600-2C10,CL-600,2004.0,2004.0,GE,CF34-8C,EV
N606LR,BOMBARDIER INC,CL-600-2D24,CL-600,2008.0,2008.0,GE,CF34-8C,EV
N676CA,BOMBARDIER INC,CL-600-2D24,CL-600,2007.0,2012.0,GE,CF34-8C,EV
N181PQ,BOMBARDIER INC,CL-600-2D24,CL-600,2008.0,2013.0,GE,CF34-8C,EV
N615QX,BOMBARDIER INC,CL-600-2C10,CL-600,2002.0,2002.0,GE,CF34-8C,EV
N133EV,BOMBARDIER INC,CL-600-2D24,CL-600,2009.0,2009.0,GE,CF34-8C,EV
N744EV,BOMBARDIER INC,CL-600-2C10,CL-600,2004.0,2004.0,GE,CF34-8C,EV
N850AS,BOMBARDIER INC,CL-600-2B19,CL-600,1999.0,2017.0,GE,CF34-3,EV
N849AS,BOMBARDIER INC,CL-600-2B19,CL-600,1999.0,2016.0,GE,CF34-3,EV
N867AS,BOMBARDIER INC,CL-600-2B19,CL-600,2000.0,2017.0,GE,CF34-3,EV
N923EV,BOMBARDIER INC,CL-600-2B19,CL-600,2003.0,2017.0,GE,CF34-3,EV
N750EV,BOMBARDIER INC,CL-600-2C10,CL-600,2004.0,2004.0,GE,CF34-8C,EV
N716EV,BOMBARDIER INC,CL-600-2C10,CL-600,2003.0,2003.0,GE,CF34-8C,EV
N724EV,BOMBARDIER INC,CL-600-2C10,CL-600,2004.0,2004.0,GE,CF34-8C,EV
N738EV,BOMBARDIER INC,CL-600-2C10,CL-600,2004.0,2004.0,GE,CF34-8C,EV
N751EV,BOMBARDIER INC,CL-600-2C10,CL-600,2004.0,2004.0,GE,CF34-8C,EV
N604QX,BOMBARDIER INC,CL-600-2C10,CL-600,2001.0,2002.0,GE,CF34-8C,EV
N608QX,BOMBARDIER INC,CL-600-2C10,CL-600,2001.0,2001.0,GE,CF34-8C,EV
N723EV,BOMBARDIER INC,CL-600-2C10,CL-600,2004.0,2004.0,GE,CF34-8C,EV
N712EV,BOMBARDIER INC,CL-600-2C10,CL-600,2002.0,2003.0,GE,CF34-8C,EV
N753EV,BOMBARDIER INC,CL-600-2C10,CL-600,2004.0,2004.0,GE,CF34-8C,EV
N391CA,BOMBARDIER INC,CL-600-2C10,CL-600,2003.0,2012.0,GE,CF34-8C,EV
N605QX,BOMBARDIER INC,CL-600-2C10,CL-600,2002.0,2002.0,GE,CF34-8C,EV
N612QX,BOMBARDIER INC,CL-600-2C10,CL-600,2002.0,2002.0,GE,CF34-8C,EV
N920EV,BOMBARDIER INC,CL-600-2B19,CL-600,2003.0,2017.0,GE,CF34-3,EV
N758EV,BOMBARDIER INC,CL-600-2C10,CL-600,2005.0,2005.0,GE,CF34-8C,EV
N760EV,BOMBARDIER INC,CL-600-2C10,CL-600,2005.0,2005.0,GE,CF34-8C,EV
N614QX,BOMBARDIER INC,CL-600-2C10,CL-600,2002.0,2002.0,GE,CF34-8C,EV
N708EV,BOMBARDIER INC,CL-600-2C10,CL-600,2002.0,2002.0,GE,CF34-8C,EV
N710EV,BOMBARDIER INC,CL-600-2C10,CL-600,2002.0,2002.0,GE,CF34-8C,EV
N709EV,BOMBARDIER INC,CL-600-2C10,CL-600,2002.0,2002.0,GE,CF34-8C,EV
N730EV,BOMBARDIER INC,CL-600-2C10,CL-600,2004.0,2004.0,GE,CF34-8C,EV
N600QX,BOMBARDIER INC,CL-600-2C10,CL-600,2001.0,2001.0,GE,CF34-8C,EV
N761ND,BOMBARDIER INC,CL-600-2C10,CL-600,2005.0,2005.0,GE,CF34-8C,EV
N740EV,BOMBARDIER INC,CL-600-2C10,CL-600,2004.0,2004.0,GE,CF34-8C,EV
N713EV,BOMBARDIER INC,CL-600-2C10,CL-600,2003.0,2003.0,GE,CF34-8C,EV
N1201P,BOEING,767-332ER,767-300ER,1998.0,1998.0,P & W,PW4060,DL
N691CA,BOMBARDIER INC,CL-600-2D24,CL-600,2007.0,2012.0,GE,CF34-8C,EV
N754EV,BOMBARDIER INC,CL-600-2C10,CL-600,2004.0,2004.0,GE,CF34-8C,EV
N176PQ,BOMBARDIER INC,CL-600-2D24,CL-600,2008.0,2013.0,GE,CF34-8C,EV
N719EV,BOMBARDIER INC,CL-600-2C10,CL-600,2003.0,2003.0,GE,CF34-8C,EV
N398CA,BOMBARDIER INC,CL-600-2C10,CL-600,2003.0,2012.0,GE,CF34-8C,EV
N720EV,BOMBARDIER INC,CL-600-2C10,CL-600,2003.0,2003.0,GE,CF34-8C,EV
N201FR,AIRBUS,A320-214,A320,2008.0,2008.0,CFM INTL,CFM56-5B,F9
N202FR,AIRBUS,A320-214,A320,2008.0,2008.0,CFM INTL,CFM56-5B,F9
N203FR,AIRBUS,A320-214,A320,2002.0,2016.0,CFM INTL,CFM56-5B,F9
N205FR,AIRBUS,A320-214,A320,2010.0,2010.0,CFM INTL,CFM56-5B,F9
N206FR,AIRBUS,A320-214,A320,2010.0,2013.0,CFM INTL,CFM56-5B,F9
N207FR,AIRBUS,A320-214,A320,2010.0,2013.0,CFM INTL,CFM56-5B,F9
N208FR,AIRBUS,A320-214,A320,2011.0,2015.0,CFM INTL,CFM56-5B,F9
N209FR,AIRBUS,A320-214,A320,2011.0,2015.0,CFM INTL,CFM56-5B,F9
N210FR,AIRBUS,A320-214,A320,2011.0,2011.0,CFM INTL,CFM56-5B,F9
N211FR,AIRBUS,A320-214,A320,2011.0,2011.0,CFM INTL,CFM56-5B,F9
N213FR,AIRBUS,A320-214,A320,2011.0,2011.0,CFM INTL,CFM56-5B,F9
N214FR,AIRBUS,A320-214,A320,2011.0,2015.0,CFM INTL,CFM56-5B,F9
N216FR,AIRBUS,A320-214,A320,2011.0,2011.0,CFM INTL,CFM56-5B,F9
N219FR,AIRBUS,A320-214,A320,2002.0,2008.0,CFM INTL,CFM56-5B,F9
N220FR,AIRBUS,A320-214,A320,2013.0,2013.0,CFM INTL,CFM56-5B,F9
N221FR,AIRBUS,A320-214,A320,2007.0,2013.0,CFM INTL,CFM56-5B,F9
N223FR,AIRBUS,A320-214,A320,2006.0,2017.0,CFM INTL,CFM56-5B,F9
N227FR,AIRBUS,A320-214,A320,2014.0,2014.0,CFM INTL,CFM56-5B,F9
N228FR,AIRBUS,A320-214,A320,2013.0,2016.0,CFM INTL,CFM56-5B,F9
N229FR,AIRBUS,A320-214,A320,2013.0,2016.0,CFM INTL,CFM56-5B,F9
N230FR,AIRBUS,A320-214,A320,2015.0,2015.0,CFM INTL,CFM56-5B,F9
N232FR,AIRBUS,A320-214,A320,2015.0,2015.0,CFM INTL,CFM56-5B,F9
N701FR,AIRBUS,A321-211,A321,2015.0,2018.0,CFM INTL,CFM56-5B,F9
N702FR,AIRBUS,A321-211,A321,2015.0,2017.0,CFM INTL,CFM56-5B,F9
N704FR,AIRBUS,A321-211,A321,2015.0,2017.0,CFM INTL,CFM56-5B,F9
N705FR,AIRBUS,A321-211,A321,2015.0,2017.0,CFM INTL,CFM56-5B,F9
N902FR,AIRBUS,A319-112,A319,2001.0,2002.0,CFM INTL,CFM56-5B,F9
N905FR,AIRBUS,A319-111,A319,2001.0,2007.0,CFM INTL,CFM56-5B,F9
N906FR,AIRBUS,A319-111,A319,2002.0,2005.0,CFM INTL,CFM56-5B,F9
N908FR,AIRBUS,A319-111,A319,2002.0,2002.0,CFM INTL,CFM56-5B,F9
N910FR,AIRBUS,A319-112,A319,2002.0,2002.0,CFM INTL,CFM56-5B,F9
N912FR,AIRBUS,A319-111,A319,2002.0,2002.0,CFM INTL,CFM56-5B,F9
N918FR,AIRBUS,A319-111,A319,2003.0,2017.0,CFM INTL,CFM56-5B,F9
N919FR,AIRBUS,A319-111,A319,2003.0,2003.0,CFM INTL,CFM56-5B,F9
N920FR,AIRBUS,A319-111,A319,2003.0,2003.0,CFM INTL,CFM56-5B,F9
N921FR,AIRBUS,A319-111,A319,2003.0,,CFM INTL,CFM56-5B,F9
N922FR,AIRBUS,A319-111,A319,2003.0,2003.0,CFM INTL,CFM56-5B,F9
N923FR,AIRBUS,A319-111,A319,2003.0,2003.0,CFM INTL,CFM56-5B,F9
N924FR,AIRBUS,A319-111,A319,2003.0,2003.0,CFM INTL,CFM56-5B,F9
N925FR,AIRBUS,A319-111,A319,2004.0,2004.0,CFM INTL,CFM56-5B,F9
N926FR,AIRBUS,A319-111,A319,2004.0,2013.0,CFM INTL,CFM56-5B,F9
N927FR,AIRBUS,A319-112,A319,2004.0,2013.0,CFM INTL,CFM56-5B,F9
N928FR,AIRBUS,A319-111,A319,2004.0,2010.0,CFM INTL,CFM56-5B,F9
N932FR,AIRBUS,A319-111,A319,2004.0,2004.0,CFM INTL,CFM56-5B,F9
N933FR,AIRBUS,A319-111,A319,2004.0,2004.0,CFM INTL,CFM56-5B,F9
N934FR,AIRBUS,A319-111,A319,2004.0,2004.0,CFM INTL,CFM56-5B,F9
N935FR,AIRBUS,A319-111,A319,2004.0,2004.0,CFM INTL,CFM56-5B,F9
N938FR,AIRBUS,A319-112,A319,2005.0,2013.0,CFM INTL,CFM56-5B,F9
N939FR,AIRBUS,A319-112,A319,2005.0,2013.0,CFM INTL,CFM56-5B,F9
N941FR,AIRBUS,A319-112,A319,2005.0,2005.0,CFM INTL,CFM56-5B,F9
N943FR,AIRBUS,A319-112,A319,2005.0,2005.0,CFM INTL,CFM56-5B,F9
N947FR,AIRBUS,A319-111,A319,2006.0,2006.0,CFM INTL,CFM56-5B,F9
N948FR,AIRBUS,A319-112,A319,2006.0,2008.0,CFM INTL,CFM56-5B,F9
N949FR,AIRBUS,A319-112,A319,2006.0,2006.0,CFM INTL,CFM56-5B,F9
N951FR,AIRBUS,A319-112,A319,2009.0,2009.0,CFM INTL,CFM56-5B,F9
N952FR,AIRBUS,A319-112,A319,2010.0,2010.0,CFM INTL,CFM56-5B,F9
N953FR,AIRBUS,A319-112,A319,2010.0,2010.0,CFM INTL,CFM56-5B,F9
N954FR,AIRBUS,A319-112,A319,2002.0,2014.0,CFM INTL,CFM56-5B,F9
N218FR,AIRBUS,A320-214,A320,2001.0,2003.0,CFM INTL,CFM56-5B,F9
N706FR,AIRBUS,A321-211,A321,2015.0,2017.0,CFM INTL,CFM56-5B,F9
N395HA,AIRBUS,A330-243,A330-200,2013.0,2013.0,ROLLS-ROYC,TRENT 772B-60,HA
N399HA,AIRBUS,A330-243,A330-200,2014.0,2014.0,ROLLS-ROYC,TRENT 772B-60,HA
N373HA,AIRBUS,A330-243,A330-200,2014.0,2014.0,ROLLS-ROYC,TRENT 772B-60,HA
N374HA,AIRBUS,A330-243,A330-200,2014.0,2014.0,ROLLS-ROYC,TRENT 772B-60,HA
N391HA,AIRBUS,A330-243,A330-200,2013.0,2013.0,ROLLS-ROYC,TRENT 772B-60,HA
N375HA,AIRBUS,A330-243,A330-200,2015.0,2015.0,ROLLS-ROYC,TRENT 772B-60,HA
N378HA,AIRBUS,A330-243,A330-200,2015.0,2015.0,ROLLS-ROYC,TRENT 772B-60,HA
N384HA,AIRBUS,A330-243,A330-200,2011.0,2011.0,ROLLS-ROYC,TRENT 772B-60,HA
N392HA,AIRBUS,A330-243,A330-200,2013.0,2013.0,ROLLS-ROYC,TRENT 772B-60,HA
N379HA,AIRBUS,A330-243,A330-200,2015.0,2015.0,ROLLS-ROYC,TRENT 772B-60,HA
N396HA,AIRBUS,A330-243,A330-200,2014.0,2014.0,ROLLS-ROYC,TRENT 772B-60,HA
N381HA,AIRBUS,A330-243,A330-200,2010.0,2015.0,ROLLS-ROYC,TRENT 772B-60,HA
N383HA,AIRBUS,A330-243,A330-200,2011.0,2011.0,ROLLS-ROYC,TRENT 772B-60,HA
N385HA,AIRBUS,A330-243,A330-200,2012.0,2012.0,ROLLS-ROYC,TRENT 772B-60,HA
N393HA,AIRBUS,A330-243,A330-200,2013.0,2013.0,ROLLS-ROYC,TRENT 772B-60,HA
N580HA,BOEING,767-33AER,767-300ER,2001.0,2017.0,P & W,PW4060,HA
N594HA,BOEING,767-332,767-300,1986.0,2006.0,GE,CF6-80C2,HA
N582HA,BOEING,767-33AER,767-300ER,2001.0,2017.0,P & W,PW4060,HA
N581HA,BOEING,767-33AER,767-300ER,2001.0,2017.0,P & W,PW4060,HA
N590HA,BOEING,767-3CBER,767-300ER,2002.0,2018.0,P & W,PW4060,HA
N588HA,BOEING,767-3CBER,767-300ER,2002.0,2018.0,P & W,PW4060,HA
N382HA,AIRBUS,A330-243,A330-200,2010.0,2015.0,ROLLS-ROYC,TRENT 772B-60,HA
N380HA,AIRBUS,A330-243,A330-200,2010.0,2016.0,ROLLS-ROYC,TRENT 772B-60,HA
N388HA,AIRBUS,A330-243,A330-200,2012.0,2012.0,ROLLS-ROYC,TRENT 772B-60,HA
N370HA,AIRBUS,A330-243,A330-200,2014.0,2014.0,ROLLS-ROYC,TRENT 772B-60,HA
N592HA,BOEING,767-3CBER,767-300ER,2003.0,2018.0,P & W,PW4060,HA
N478HA,BOEING,717-200,717-200,2001.0,2011.0,ROLLS-ROYC,BR700-715,HA
N490HA,BOEING,717-200,717-200,2000.0,2011.0,ROLLS-ROYC,BR700-715,HA
N477HA,BOEING,717-200,717-200,2001.0,2011.0,ROLLS-ROYC,BR700-715,HA
N485HA,BOEING,717-200,717-200,2001.0,2011.0,ROLLS-ROYC,BR700-715,HA
N481HA,BOEING,717-200,717-200,2001.0,2011.0,ROLLS-ROYC,BR700-715,HA
N486HA,BOEING,717-200,717-200,2001.0,2011.0,ROLLS-ROYC,BR700-715,HA
N491HA,BOEING,717-200,717-200,2003.0,2012.0,ROLLS-ROYC,BR700-715,HA
N476HA,BOEING,717-200,717-200,2001.0,2011.0,ROLLS-ROYC,BR700-715,HA
N493HA,BOEING,717-200,717-200,2005.0,2011.0,ROLLS-ROYC,BR700-715,HA
