tail_num,mfr_name,model,model_2,year,cert_year,eng_mfr_name,eng_model,carrier
N921DN,MCDONNELL DOUGLAS,MD-90-30,MD-90-30,1997.0,2010.0,IAE,V2528-D5,DL
N850DN,BOEING,737-932ER,737-900ER,2015.0,2015.0,CFM INTL,CFM56-7B,DL
N923DN,BOEING,MD-90-30,MD-90-30,1998.0,2010.0,IAE,V2528-D5,DL
N924DN,BOEING,MD-90-30,MD-90-30,1998.0,2010.0,IAE,V2528-D5,DL
N928DN,BOEING,MD-90-30,MD-90-30,1999.0,2010.0,IAE,V2528-D5,DL
N926DH,BOEING,MD-90-30,MD-90-30,1998.0,2010.0,IAE,V2528-D5,DL
N920DN,MCDONNELL DOUGLAS,MD-90-30,MD-90-30,1997.0,2010.0,IAE,V2528-D5,DL
N925DN,BOEING,MD-90-30,MD-90-30,1998.0,2010.0,IAE,V2528-D5,DL
N937DN,MCDONNELL DOUGLAS,MD-90-30,MD-90-30,1995.0,2012.0,IAE,V2528-D5,DL
N922DX,MCDONNELL DOUGLAS,MD-90-30,MD-90-30,1997.0,2010.0,IAE,V2528-D5,DL
N308DE,BOEING,737-732,737-700,2009.0,2009.0,CFM INTL,CFM56-7B,DL
N527AS,BOEING,737-890,737-800,2009.0,2009.0,CFM INTL,CFM56-7B,AS
N846AS,BOMBARDIER INC,CL-600-2B19,CL-600,1999.0,2004.0,,,EV
N783CA,BOMBARDIER INC,CL-600-2B19,CL-600,1999.0,2016.0,GE,CF34-3,OO
N53441,BOEING,737-924ER,737-900ER,2009.0,2009.0,CFM INTL,CFM56-7B,UA
N7812G,BOEING,737-76N,737-700,2013.0,2013.0,CFM INTL,CFM56-7B,WN
N7816B,BOEING,737-7L9,737-700,2014.0,2014.0,CFM INTL,CFM56-7B,WN
N636WN,BOEING,737-3H4,737-300,1996.0,,CFM INTL,CFM56-3,WN
N7830A,BOEING,737-7L9,737-700,2015.0,2015.0,CFM INTL,CFM56-7B,WN
N286AY,AIRBUS,A330-243,A330-200,2013.0,2015.0,ROLLS-ROYC,TRENT 772B-60,AA
N548AA,MCDONNELL DOUGLAS,DC-9-82(MD-82),MD-82,1991.0,2012.0,P & W,JT8D-217,AA
N3EGAA,BOEING,737-823,737-800,2009.0,2009.0,CFM INTL,CFM56-7B,AA
N3ECAA,BOEING,737-823,737-800,2009.0,2009.0,CFM INTL,CFM56-7B,AA
N3EBAA,BOEING,737-823,737-800,2009.0,2009.0,CFM INTL,CFM56-7B,AA
N3EDAA,BOEING,737-823,737-800,2009.0,2009.0,CFM INTL,CFM56-7B,AA
N3EHAA,BOEING,737-823,737-800,2009.0,2009.0,CFM INTL,CFM56-7B,AA
N286AA,AIRBUS,A330-243,A330-200,2013.0,2015.0,ROLLS-ROYC,TRENT 772B-60,AA
N663SW,BOEING,737-3Q8,737-300,1985.0,2005.0,CFM INTL,CFM56-3,WN
N4WNAA,MCDONNELL DOUGLAS,DC-9-83(MD-83),MD-83,1993.0,2016.0,P & W,JT8D-219,AA
N473UA,AIRBUS,A320-232,A320,2001.0,2013.0,IAE,V2527-A5,UA
N213UA,BOEING,777-222,777-200,2000.0,2013.0,P & W,PW4077,UA
N392DA,BOEING,737-832,737-800,2000.0,2000.0,CFM INTL,CFM56-7B,DL
N911DA,MCDONNELL DOUGLAS,MD-90-30,MD-90-30,1995.0,1996.0,IAE,V2528-D5,DL
N612DL,BOEING,757-232,757-200,1985.0,2008.0,P & W,PW2037,DL
N192JB,EMBRAER,ERJ 190-100 IGW,E190,2005.0,2005.0,GE,CF34-10E,B6
N178JB,EMBRAER,ERJ 190-100 IGW,E190,2005.0,2005.0,GE,CF34-10E,B6
N179JB,EMBRAER,ERJ 190-100 IGW,E190,2005.0,2005.0,GE,CF34-10E,B6
N190JB,EMBRAER,ERJ 190-100 IGW,E190,2005.0,2005.0,GE,CF34-10E,B6
N193JB,EMBRAER,ERJ 190-100 IGW,E190,2005.0,2006.0,GE,CF34-10E,B6
N184JB,EMBRAER,ERJ 190-100 IGW,E190,2005.0,2005.0,GE,CF34-10E,B6
N187JB,EMBRAER,ERJ 190-100 IGW,E190,2005.0,2005.0,GE,CF34-10E,B6
N183JB,EMBRAER,ERJ 190-100 IGW,E190,2005.0,2005.0,GE,CF34-10E,B6
N764AS,BOEING,737-4Q8,737-400,1992.0,2017.0,CFM INTL,CFM56-3,AS
N796AS,BOEING,737-490,737-400,1998.0,1998.0,CFM INTL,CFM56-3,AS
N390HA,AIRBUS,A330-243,A330-200,2013.0,2013.0,ROLLS-ROYC,TRENT 772B-60,HA
N386HA,AIRBUS,A330-243,A330-200,2012.0,2012.0,ROLLS-ROYC,TRENT 772B-60,HA
N389HA,AIRBUS,A330-243,A330-200,2012.0,2012.0,ROLLS-ROYC,TRENT 772B-60,HA
N624SW,BOEING,737-3H4,737-300,1996.0,2018.0,CFM INTL,CFM56-3,WN
N622SW,BOEING,737-3H4,737-300,1996.0,2018.0,CFM INTL,CFM56-3,WN
N798SW,BOEING,737-7AD,737-700,1998.0,2000.0,CFM INTL,CFM56-7B,WN
N623SW,BOEING,737-3H4,737-300,1996.0,2018.0,CFM INTL,CFM56-3,WN
N25705,BOEING,737-724,737-700,1998.0,2017.0,CFM INTL,CFM56-7B,UA
N105UA,BOEING,747-451,747-400,1994.0,2015.0,P & W,PW4056,UA
N674UA,BOEING,767-322ER,767-300ER,2000.0,2013.0,P & W,PW4060,UA
N774UA,BOEING,777-222,777-200,1996.0,2013.0,P & W,PW4077,UA
N773UA,BOEING,777-222,777-200,1995.0,2013.0,P & W,PW4077,UA
N223UA,BOEING,777-222ER,777-200ER,2001.0,2001.0,P & W,PW4090,UA
N279AY,AIRBUS,A330-243,A330-200,2009.0,2015.0,ROLLS-ROYC,TRENT 772B-60,AA
N285AY,AIRBUS,A330-243,A330-200,2010.0,2015.0,ROLLS-ROYC,TRENT 772B-60,AA
N279AA,AIRBUS,A330-243,A330-200,2009.0,2015.0,ROLLS-ROYC,TRENT 772B-60,AA
N285AA,AIRBUS,A330-243,A330-200,2010.0,2015.0,ROLLS-ROYC,TRENT 772B-60,AA
N7LSAA,BOEING,777-323ER,777-300ER,2014.0,2014.0,GE,GE90-115B,AA
N8LCAA,BOEING,787-9,787-9,2016.0,2016.0,GE,GENX-1B74/75/,AA
N705UW,AIRBUS,A319-112,A319,1998.0,1998.0,CFM INTL,CFM56-5B,AA
N705AA,AIRBUS,A319-112,A319,1998.0,1998.0,CFM INTL,CFM56-5B,AA
N826AW,AIRBUS,A319-132,A319,2001.0,2005.0,IAE,V2524-A5,AA
N835AW,AIRBUS,A319-132,A319,2005.0,2013.0,IAE,V2524-A5,AA
N830AW,AIRBUS,A319-132,A319,2001.0,2005.0,IAE,V2524-A5,AA
N829AW,AIRBUS,A319-132,A319,2001.0,2005.0,IAE,V2524-A5,AA
N828AW,AIRBUS,A319-132,A319,2001.0,2005.0,IAE,V2524-A5,AA
N834AW,AIRBUS,A319-132,A319,2004.0,2004.0,IAE,V2524-A5,AA
N829AA,AIRBUS,A319-132,A319,2001.0,2005.0,IAE,V2524-A5,AA
N830AA,AIRBUS,A319-132,A319,2001.0,2005.0,IAE,V2524-A5,AA
N835AA,AIRBUS,A319-132,A319,2005.0,2013.0,IAE,V2524-A5,AA
N828AA,AIRBUS,A319-132,A319,2001.0,2005.0,IAE,V2524-A5,AA
N834AA,AIRBUS,A319-132,A319,2004.0,2004.0,IAE,V2524-A5,AA
N826AA,AIRBUS,A319-132,A319,2001.0,2005.0,IAE,V2524-A5,AA
N651AW,AIRBUS,A320-232,A320,1998.0,2004.0,IAE,V2527-A5,AA
N651AA,AIRBUS,A320-232,A320,1998.0,2004.0,IAE,V2527-A5,AA
