tail_num,mfr_name,model,model_2,year,cert_year,eng_mfr_name,eng_model,carrier,number_of_seats
N187PQ,BOMBARDIER INC,CL-600-2D24,CL-600,2008.0,2014.0,GE,CF34-8C,OO,76.0
N822SK,BOMBARDIER INC,CL-600-2D24,CL-600,2008.0,2008.0,GE,CF34-8C,OO,76.0
N817SK,BOMBARDIER INC,CL-600-2D24,CL-600,2006.0,2007.0,GE,CF34-8C,OO,76.0
N804SK,BOMBARDIER INC,CL-600-2D24,CL-600,2006.0,2018.0,GE,CF34-8C,OO,76.0
N447SW,BOMBARDIER INC,CL-600-2B19,CL-600,2002.0,2003.0,GE,CF34-3,OO,50.0
N454SW,BOMBARDIER INC,CL-600-2B19,CL-600,2003.0,2005.0,GE,CF34-3,OO,50.0
N8884E,BOMBARDIER INC,CL-600-2B19,CL-600,2003.0,2003.0,GE,CF34-3,OO,50.0
N823AS,BOMBARDIER INC,CL-600-2B19,CL-600,1997.0,2014.0,GE,CF34-3,OO,50.0
N8923A,BOMBARDIER INC,CL-600-2B19,CL-600,2004.0,2004.0,GE,CF34-3,OO,50.0
N809CA,BOMBARDIER INC,CL-600-2B19,CL-600,2000.0,2016.0,GE,CF34-3,OO,50.0
N936SW,BOMBARDIER INC,CL-600-2B19,CL-600,2002.0,2003.0,GE,CF34-3,OO,50.0
N953SW,BOMBARDIER INC,CL-600-2B19,CL-600,2003.0,2003.0,GE,CF34-3,OO,50.0
N446SW,BOMBARDIER INC,CL-600-2B19,CL-600,2002.0,2003.0,GE,CF34-3,OO,50.0
N455CA,BOMBARDIER INC,CL-600-2B19,CL-600,2002.0,2012.0,GE,CF34-3,OO,50.0
N477CA,BOMBARDIER INC,CL-600-2B19,CL-600,2002.0,2012.0,GE,CF34-3,OO,50.0
N781CA,BOMBARDIER INC,CL-600-2B19,CL-600,1999.0,2016.0,GE,CF34-3,OO,50.0
N8942A,BOMBARDIER INC,CL-600-2B19,CL-600,2004.0,2004.0,GE,CF34-3,OO,50.0
N459SW,BOMBARDIER INC,CL-600-2B19,CL-600,2003.0,2004.0,GE,CF34-3,OO,50.0
N912EV,BOMBARDIER INC,CL-600-2B19,CL-600,2002.0,2002.0,GE,CF34-3,OO,50.0
N461SW,BOMBARDIER INC,CL-600-2B19,CL-600,2003.0,2003.0,GE,CF34-3,OO,50.0
N629BR,BOMBARDIER INC,CL-600-2B19,CL-600,1998.0,2015.0,GE,CF34-3,OO,50.0
N886AS,BOMBARDIER INC,CL-600-2B19,CL-600,2001.0,2017.0,GE,CF34-3,OO,50.0
N455SW,BOMBARDIER INC,CL-600-2B19,CL-600,2003.0,2003.0,GE,CF34-3,OO,50.0
N437SW,BOMBARDIER INC,CL-600-2B19,CL-600,2001.0,2018.0,GE,CF34-3,OO,50.0
N915EV,BOMBARDIER INC,CL-600-2B19,CL-600,2003.0,2003.0,GE,CF34-3,OO,50.0
N506CA,BOMBARDIER INC,CL-600-2B19,CL-600,2003.0,2014.0,GE,CF34-3,OO,50.0
N466SW,BOMBARDIER INC,CL-600-2B19,CL-600,2003.0,2003.0,GE,CF34-3,OO,50.0
N8903A,BOMBARDIER INC,CL-600-2B19,CL-600,2004.0,2004.0,GE,CF34-3,OO,50.0
N432SW,BOMBARDIER INC,CL-600-2B19,CL-600,2001.0,2018.0,GE,CF34-3,OO,50.0
N431SW,BOMBARDIER INC,CL-600-2B19,CL-600,2001.0,2018.0,GE,CF34-3,OO,50.0
N448SW,BOMBARDIER INC,CL-600-2B19,CL-600,2002.0,2003.0,GE,CF34-3,OO,50.0
N8965E,BOMBARDIER INC,CL-600-2B19,CL-600,2004.0,2004.0,GE,CF34-3,OO,50.0
N463SW,BOMBARDIER INC,CL-600-2B19,CL-600,2003.0,2003.0,GE,CF34-3,OO,50.0
N460SW,BOMBARDIER INC,CL-600-2B19,CL-600,2003.0,2004.0,GE,CF34-3,OO,50.0
N452SW,BOMBARDIER INC,CL-600-2B19,CL-600,2002.0,2003.0,GE,CF34-3,OO,50.0
N885AS,BOMBARDIER INC,CL-600-2B19,CL-600,2001.0,2017.0,GE,CF34-3,OO,50.0
N457SW,BOMBARDIER INC,CL-600-2B19,CL-600,2003.0,2004.0,GE,CF34-3,OO,50.0
N899SK,BOMBARDIER INC,CL-600-2D24,CL-600,2007.0,2016.0,GE,CF34-8C,OO,76.0
N601XJ,BOMBARDIER INC,CL-600-2B19,CL-600,2005.0,2005.0,GE,CF34-3,OO,50.0
N8968E,BOMBARDIER INC,CL-600-2B19,CL-600,2004.0,2004.0,GE,CF34-3,OO,50.0
N685BR,BOMBARDIER INC,CL-600-2B19,CL-600,2002.0,2010.0,GE,CF34-3,OO,50.0
N427SW,BOMBARDIER INC,CL-600-2B19,CL-600,2001.0,2017.0,GE,CF34-3,OO,50.0
N496CA,BOMBARDIER INC,CL-600-2B19,CL-600,2003.0,2018.0,GE,CF34-3,OO,50.0
